id x0 y0 xx yy xy
      34 1.50382381 -27.16903274 3.32418584 8.34986434 0.84017588
      78 4.07167829 -12.79870690 6.12082174 22.16153134 5.12342583
     122 2.14569640 -4.84739281 3.70676992 15.15893664 3.94603753
     133 2.36917457 -3.64788710 3.86337943 23.00177446 5.73350290
      12 0.44138012 -22.88243262 2.85910670 21.95420040 -1.87073435
     100 3.46855042 -7.58978699 7.95119929 8.97476782 -2.64085454
     639 4.91515159 -4.86520944 4.11117292 12.84424095 4.19548017
     243 -3.30177416 3.68008066 3.52475393 17.28088605 -3.02366098
     683 2.42237003 -3.52304326 3.82306944 9.11954838 2.79997774
     331 0.94478906 3.12607111 1.78001820 18.76645664 0.02937213
     298 -0.96780108 -3.65207405 4.01647318 8.85779030 2.38120797
      45 2.17015098 -25.77448170 3.65909015 24.08648844 3.91820296
     606 5.83143520 -3.99102855 7.02007271 14.19131618 7.23026621
     221 -2.92289125 -1.05322260 4.02736720 13.56792180 -3.36161600
     573 8.20396790 1.20954680 2.73465849 9.72685581 0.27686983
      23 0.94522400 -26.19100599 1.77771827 16.21046214 -0.16366587
     144 3.10851296 -2.55673919 2.95940046 14.46308887 2.04760924
       1 -0.13681911 -19.10799178 3.49418930 33.82778075 -6.52873650
      67 3.24815641 -17.13066254 4.47366994 36.23405541 1.88883628
     628 4.60498789 -5.32564374 3.66188278 18.69100922 4.81882696
     694 1.79476794 -5.06156813 3.39826621 22.51402481 3.64945573
      56 1.71140658 -22.14339547 3.83502686 37.42653714 -0.95287047
     386 2.51692414 9.36226866 4.01799012 6.85680478 -1.97867154
     166 2.03638446 -2.58814348 4.40133152 11.35916055 3.15947136
     661 4.71460226 -3.34127993 4.06352071 8.23111252 -2.45632810
     595 6.77186269 -1.95913874 5.82886577 12.33792815 5.69123050
     617 4.74022412 -4.76813806 3.57481189 15.33988170 4.25494087
     650 4.05246847 -4.49253540 3.74934543 8.15634950 2.12025354
     463 1.56413892 6.90767626 3.63187870 27.41244157 0.25016674
     320 0.39264963 -0.62836723 2.98402931 23.08452791 1.91749425
     672 3.36352074 -2.18708432 6.40286742 5.31050873 -1.20424988
     496 4.84290632 15.56261365 5.24724287 15.13941439 4.44629434
